                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.1642,                 3.7009,                 3.2354,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    0.1,                      0,                      0
                      2,                 5.3027,                 3.7063,                 3.3492,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.09901,             9.9667e-06,             9.9667e-06
                      3,                 4.6718,                 3.6818,                 3.1639,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.09802,             1.9867e-05,             1.9867e-05
                      4,                 4.9469,                 3.5607,                 2.6918,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.09703,               2.97e-05,               2.97e-05
                      5,                 3.8048,                 3.3297,                 2.1826,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.096039,             3.9467e-05,             3.9467e-05
                      6,                 3.5804,                 3.2119,                 1.7461,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.095049,             4.9167e-05,             4.9167e-05
                      7,                  2.707,                 3.0207,                 1.7554,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.094059,               5.88e-05,               5.88e-05
                      8,                 2.5819,                  2.894,                 1.6645,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.093068,             6.8367e-05,             6.8367e-05
                      9,                 2.6185,                 2.7681,                 1.4815,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.092078,             7.7867e-05,             7.7867e-05
                     10,                 2.3964,                 2.6212,                 1.5371,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.091087,               8.73e-05,               8.73e-05
                     11,                 2.2441,                 2.4115,                 1.3883,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.090097,             9.6667e-05,             9.6667e-05
