                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5823,                 5.9048,                 3.6248,                 1.6549,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    0.1,                      0,                      0
                      2,                 2.8439,                 5.9115,                 3.6328,                 1.6661,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                0.09901,             9.9667e-06,             9.9667e-06
                      3,                 2.1113,                 5.3119,                 3.6056,                  1.713,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                0.09802,             1.9867e-05,             1.9867e-05
                      4,                  2.941,                 5.5115,                 3.6549,                 1.6157,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                0.09703,               2.97e-05,               2.97e-05
                      5,                 2.6178,                 6.5773,                 3.6349,                 1.6717,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.096039,             3.9467e-05,             3.9467e-05
                      6,                 3.2971,                 5.4671,                 3.6549,                 1.6437,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.095049,             4.9167e-05,             4.9167e-05
                      7,                 1.6987,                   1.68,                 3.4668,                 1.4755,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.094059,               5.88e-05,               5.88e-05
                      8,                 1.1941,                 1.2463,                 3.2915,                 1.3112,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.093068,             6.8367e-05,             6.8367e-05
                      9,                  1.147,                 2.6037,                 3.1217,                 1.0746,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.092078,             7.7867e-05,             7.7867e-05
                     10,                0.89001,                 1.0283,                 2.9302,                 1.0586,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.091087,               8.73e-05,               8.73e-05
