                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81232,                 2.0572,                0.54169,                0.90422,                 0.9081,                0.77895,                0.80101,                0.68265,                0.65417,                0.55657,                 0.5522,                0.33273,                 1.3201,                 7.1991,                0.75118,                0.89248,                      0,                      0,                      0
                      2,                0.90966,                 2.0847,                0.58138,                0.94067,                0.90727,                0.77895,                0.80117,                 0.6835,                0.65087,                 0.5523,                0.54803,                0.33157,                 1.3208,                 7.2175,                0.75339,                 0.8923,             5.8771e-06,             5.8771e-06,             5.8771e-06
                      3,                0.98001,                 2.2929,                0.63936,                0.97677,                 0.9083,                0.77895,                0.80119,                0.68409,                0.65428,                0.55657,                0.55018,                0.33409,                 1.3142,                  7.206,                0.75036,                0.89251,             1.1748e-05,             1.1748e-05,             1.1748e-05
                      4,                 1.1102,                 2.9108,                0.70102,                0.95769,                  0.899,                0.77891,                0.79943,                 0.6873,                0.64985,                0.55228,                0.55124,                0.33474,                  1.337,                 7.2445,                0.75828,                 0.8921,             1.7614e-05,             1.7614e-05,             1.7614e-05
                      5,                 1.0396,                 2.4102,                0.67305,                0.97921,                0.91473,                 0.7789,                0.79986,                0.68713,                0.64906,                0.55227,                0.55273,                0.33606,                 1.3601,                 7.2453,                0.76841,                0.89304,             2.3473e-05,             2.3473e-05,             2.3473e-05
                      6,                0.87937,                 1.4734,                0.52711,                0.91979,                 0.9272,                0.77889,                0.79859,                0.69257,                0.64851,                0.55227,                0.55157,                0.33561,                 1.3871,                 7.2101,                0.78141,                0.89697,             2.9327e-05,             2.9327e-05,             2.9327e-05
                      7,                 1.1234,                  2.814,                0.71874,                  1.004,                0.92319,                0.77889,                0.79656,                0.68581,                0.64104,                0.54527,                0.54127,                0.34922,                  1.413,                 7.2203,                0.78715,                0.89821,             3.5174e-05,             3.5174e-05,             3.5174e-05
                      8,                 1.2442,                 3.5517,                 0.7954,                0.99455,                0.90589,                0.77891,                0.79522,                0.67029,                0.63822,                0.54528,                0.54339,                0.35027,                 1.4152,                 7.1837,                0.78795,                0.89709,             4.1016e-05,             4.1016e-05,             4.1016e-05
                      9,                0.99572,                 2.3633,                0.64849,                0.89371,                0.87857,                0.77895,                0.79607,                0.66746,                0.63076,                0.54531,                0.54325,                0.33674,                 1.4009,                 7.1089,                0.77623,                0.89399,             4.6852e-05,             4.6852e-05,             4.6852e-05
                     10,                0.99967,                 2.6349,                0.65656,                0.94901,                0.88478,                0.78081,                0.79778,                0.67804,                0.63031,                 0.5453,                 0.5428,                0.33423,                 1.3879,                 7.0742,                0.75324,                0.89353,             5.2682e-05,             5.2682e-05,             5.2682e-05
